rule_id,category,market,trigger,historical_record,historical_pct,sample_size,source,source_quality,validated,current_2026_occurrences,strength_values,example_evidence,score_literal,provisional_priority,priority_rationale
High Offense RP vs Low Defense RP,Returning production,Total,Arizona returning production edge,18-17-0,60.0,35.0,matchups_view angles,Historical angle,False,4.0,Medium,"Arizona triggers High Offense RP vs Low Defense RP vs Northern Illinois. 2026 RP: Arizona overall 60.0% #32, off 66.0% #24, def 55.0% #56. Opponent RP: overall 48.0% #85, off 68.0% #15, def 28.0% #132. Projected role: Favorite. 2023–25 early-season High Offense RP vs Low Defense RP Favorites: 18-17-0 ATS, 51.4%, +1.26 ATS margin over 35 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Offense RP vs Low Defense RP,Returning production,Total,Ohio State returning production edge,18-17-0,60.0,35.0,matchups_view angles,Historical angle,False,4.0,Medium,"Ohio State triggers High Offense RP vs Low Defense RP vs Ball State. 2026 RP: Ohio State overall 60.0% #31, off 71.0% #8, def 50.0% #78. Opponent RP: overall 36.0% #123, off 47.0% #89, def 24.0% #136. Projected role: Favorite. 2023–25 early-season High Offense RP vs Low Defense RP Favorites: 18-17-0 ATS, 51.4%, +1.26 ATS margin over 35 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Offense RP vs Low Defense RP,Returning production,Total,San Diego State returning production edge,18-17-0,59.0,35.0,matchups_view angles,Historical angle,False,4.0,Medium,"San Diego State triggers High Offense RP vs Low Defense RP vs James Madison. 2026 RP: San Diego State overall 59.0% #34, off 76.0% #1, def 43.0% #100. Opponent RP: overall 30.0% #136, off 27.0% #128, def 32.0% #130. Projected role: Favorite. 2023–25 early-season High Offense RP vs Low Defense RP Favorites: 18-17-0 ATS, 51.4%, +1.26 ATS margin over 35 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Offense RP vs Low Defense RP,Returning production,Total,Kansas State returning production edge,18-17-0,58.0,35.0,matchups_view angles,Historical angle,False,2.0,Medium,"Kansas State triggers High Offense RP vs Low Defense RP vs Washington State. 2026 RP: Kansas State overall 58.0% #38, off 65.0% #25, def 51.0% #73. Opponent RP: overall 42.0% #109, off 48.0% #86, def 36.0% #121. Projected role: Favorite. 2023–25 early-season High Offense RP vs Low Defense RP Favorites: 18-17-0 ATS, 51.4%, +1.26 ATS margin over 35 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Offense RP vs Low Defense RP,Returning production,Total,Liberty returning production edge,18-17-0,57.0,35.0,matchups_view angles,Historical angle,False,3.0,Medium | Watch,"Liberty triggers High Offense RP vs Low Defense RP vs JMU. 2026 RP: Liberty overall 57.0% #49, off 64.0% #29, def 50.0% #77. Opponent RP: overall 30.0% #136, off 27.0% #128, def 32.0% #130. Projected role: Pick. No matching historical role summary..",,Medium candidate,30+ games and 55%+ ATS/O-U
High Offense RP vs Low Defense RP,Returning production,Total,Texas State returning production edge,18-17-0,56.0,35.0,matchups_view angles,Historical angle,False,2.0,Medium,"Texas State triggers High Offense RP vs Low Defense RP vs North Texas. 2026 RP: Texas State overall 56.0% #51, off 70.0% #12, def 43.0% #98. Opponent RP: overall 32.0% #132, off 28.0% #126, def 35.0% #124. Projected role: Favorite. 2023–25 early-season High Offense RP vs Low Defense RP Favorites: 18-17-0 ATS, 51.4%, +1.26 ATS margin over 35 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Offense RP vs Low Defense RP,Returning production,Total,Army returning production edge,18-17-0,50.0,35.0,matchups_view angles,Historical angle,False,2.0,Medium,"Army triggers High Offense RP vs Low Defense RP vs South Florida. 2026 RP: Army overall 50.0% #74, off 67.0% #18, def 33.0% #127. Opponent RP: overall 41.0% #113, off 47.0% #90, def 36.0% #122. Projected role: Favorite. 2023–25 early-season High Offense RP vs Low Defense RP Favorites: 18-17-0 ATS, 51.4%, +1.26 ATS margin over 35 games.",,Exclude or context,Historical performance/sample does not clear provisional floor
High Offense RP vs Low Defense RP,Returning production,Total,Northern Illinois returning production edge,8-5-0,48.0,35.0,matchups_view angles,Historical angle,False,4.0,Medium | Watch,"Northern Illinois triggers High Offense RP vs Low Defense RP vs Iowa. 2026 RP: Northern Illinois overall 48.0% #85, off 68.0% #15, def 28.0% #132. Opponent RP: overall 44.0% #104, off 48.0% #84, def 40.0% #105. Projected role: Underdog. 2023–25 early-season High Offense RP vs Low Defense RP Underdogs: 8-5-0 ATS, 61.5%, +2.52 ATS margin over 13 games.",,Exclude or context,Historical performance/sample does not clear provisional floor
coach_1h,Coach trend,1H,Coach 1H support,14-8,64.7,25.0,matchups_view angles,Historical angle,False,147.0,high | medium,"Greg Schiano 1H Favorite: 9-3 ATS (75.0%), avg ATS margin +2.7 over 12 games. Supports Rutgers.",,Medium candidate,20+ games and 57.5%+ ATS/O-U
coach_2h,Coach trend,2H,Coach 2H support,9-5,64.3,25.0,matchups_view angles,Historical angle,False,186.0,high | medium,"Tony Sanchez 2H Underdog: 11-6 ATS (64.7%), avg ATS margin +2.2 over 17 games. Supports New Mexico State.",,Medium candidate,20+ games and 57.5%+ ATS/O-U
coach_2h,Coach trend,2H,Coach 2H fade,8-10,35.7,25.0,matchups_view angles,Historical angle,False,125.0,high | medium,"Mike Norvell 2H Favorite: 4-8 ATS (33.3%), avg ATS margin -3.0 over 12 games. Supports New Mexico State by fading Florida State.",,Exclude or context,Historical performance/sample does not clear provisional floor
coach_1h,Coach trend,1H,Coach 1H fade,5-7,36.6,21.0,matchups_view angles,Historical angle,False,130.0,high | medium,"Tony Sanchez 1H Underdog: 8-10 ATS (44.4%), avg ATS margin -1.8 over 18 games. Supports Florida State by fading New Mexico State.",,Exclude or context,Historical performance/sample does not clear provisional floor
High Defense RP vs Low Offense RP,Returning production,Total,South Carolina returning production edge,4-8-1,68.0,13.0,matchups_view angles,Historical angle,False,2.0,Fade,"South Carolina triggers High Defense RP vs Low Offense RP vs Alabama. 2026 RP: South Carolina overall 68.0% #5, off 76.0% #2, def 61.0% #30. Opponent RP: overall 48.0% #90, off 35.0% #119, def 61.0% #32. Projected role: Underdog. 2023–25 early-season High Defense RP vs Low Offense RP Underdogs: 4-8-1 ATS, 33.3%, -4.45 ATS margin over 13 games.",,Exclude or context,Historical performance/sample does not clear provisional floor
High Defense RP vs Low Offense RP,Returning production,Total,Florida Atlantic returning production edge,4-8-1,64.0,13.0,matchups_view angles,Historical angle,False,2.0,Fade,"Florida Atlantic triggers High Defense RP vs Low Offense RP vs Navy. 2026 RP: Florida Atlantic overall 64.0% #19, off 62.0% #34, def 65.0% #14. Opponent RP: overall 47.0% #93, off 33.0% #121, def 61.0% #31. Projected role: Underdog. 2023–25 early-season High Defense RP vs Low Offense RP Underdogs: 4-8-1 ATS, 33.3%, -4.45 ATS margin over 13 games.",,Exclude or context,Historical performance/sample does not clear provisional floor
High Defense RP vs Low Offense RP,Returning production,Total,Stanford returning production edge,4-8-1,60.0,13.0,matchups_view angles,Historical angle,False,2.0,Fade,"Stanford triggers High Defense RP vs Low Offense RP vs Georgia Tech. 2026 RP: Stanford overall 60.0% #33, off 58.0% #54, def 62.0% #21. Opponent RP: overall 49.0% #79, off 37.0% #117, def 61.0% #28. Projected role: Underdog. 2023–25 early-season High Defense RP vs Low Offense RP Underdogs: 4-8-1 ATS, 33.3%, -4.45 ATS margin over 13 games.",,Exclude or context,Historical performance/sample does not clear provisional floor
High Offense RP vs Low Defense RP,Returning production,Total,UL-Monroe returning production edge,8-5-0,51.0,13.0,matchups_view angles,Historical angle,False,2.0,Watch,"UL-Monroe triggers High Offense RP vs Low Defense RP vs UAB. 2026 RP: UL-Monroe overall 51.0% #68, off 63.0% #33, def 40.0% #106. Opponent RP: overall 35.0% #125, off 32.0% #123, def 38.0% #114. Projected role: Underdog. 2023–25 early-season High Offense RP vs Low Defense RP Underdogs: 8-5-0 ATS, 61.5%, +2.52 ATS margin over 13 games.",,Exclude or context,Historical performance/sample does not clear provisional floor
cross_book_spread_outlier,Other,Spread,Stale opener: spread,,,,matchups_view angles,Structural,False,39.0,high,"BetUS opened -9, 1.0 points from the 13-book opening median -8.",,Context pending validation,Structural rule without attached betting record
cross_book_total_outlier,Other,Total,Stale opener: total,,,,matchups_view angles,Structural,False,5.0,high,"betmgm opened 55.5, 3.0 points from the 6-book opening median 58.5. Expected move has already started; do not chase.",,Context pending validation,Structural rule without attached betting record
high_variance,Other,Context,High model variance,,,,matchups_view angles,Structural,False,227.0,high,"Sacramento State rating range 12.3 across SP+/FPI/TeamRankings; high source fpi, low source spplus.",,Context pending validation,Structural rule without attached betting record
medium_variance,Other,Context,Medium+ model variance,,,,matchups_view angles,Structural,False,689.0,high | medium,Sacramento State rating range 12.3 across SP+/FPI/TeamRankings.,,Context pending validation,Structural rule without attached betting record
near_pick,Model edge,Spread,Near pick’em game,,,,matchups_view angles,Structural,False,147.0,medium,model spread Stanford -2.4,,Exclude,Already displayed in the main Openers columns
near_pick,Other,Spread,Near pick’em game,,,,matchups_view angles,Structural,False,1.0,medium,market spread Western Kentucky -2.5,,Context pending validation,Structural rule without attached betting record
rp_study_signal,Other,Context,,,,,matchup_workspace.js add() template,Structural,False,,,,88.0,Context pending validation,Structural rule without attached betting record
model_spread_edge,Model edge,Spread,Model spread edge ${num(edge)} pts,,,,matchup_workspace.js add() template,Structural,False,,,Home perspective: model ${line(game.model.home_spread)} vs market ${line(s.home_line)},100.0,Exclude,Already displayed in the main Openers columns
model_total_edge,Model edge,Total,Model total edge ${num(edge)} pts,,,,matchup_workspace.js add() template,Structural,False,,,Model ${num(game.model.total)} vs market ${num(t.line)},95.0,Exclude,Already displayed in the main Openers columns
"coach_${period.replaceAll(' ','_').toLowerCase()}_positive",Coach trend,Total,Coach ${period} ATS strength as ${c.r.toLowerCase()},,,,matchup_workspace.js add() template,Structural,False,,,"${sp.ats_record}, ${pct(rate)}, ${num(margin)} ATS +/- over ${games} games",,Context pending validation,Structural rule without attached betting record
"coach_${period.replaceAll(' ','_').toLowerCase()}_negative",Coach trend,Total,Opposing coach poor ${period} ATS as ${c.r.toLowerCase()},,,,matchup_workspace.js add() template,Structural,False,,,"Supports ${opp.team}: ${team.team} coach ${sp.ats_record}, ${pct(rate)}, ${num(margin)} ATS +/- over ${games} games",,Context pending validation,Structural rule without attached betting record
opening_possession_1h,Coach trend,1H,Opposing receive vs defer toss tendencies,,,,matchup_workspace.js add() template,Structural,False,,,"${receiveTeam.team} coach receives ${num(receiveTeam.team===game.game.away_team?opening.away.receive_pct:opening.home.receive_pct,0)}% after wins; ${deferTeam.team} coach defers ${num(deferTeam.team===game.game.away_team?opening.away.defer_pct:opening.home.defer_pct,0)}%. Projected first possession: ${opening.projected_opening_receiver} (${num(prob,1)}%).",76.0,Context pending validation,Structural rule without attached betting record
staff_continuity,Coach trend,Early season,Coaching continuity advantage,,,,matchup_workspace.js add() template,Structural,False,,,"${winner.team}: ${winner.staff_continuity.returning_count}/3 returning vs ${loser.team}: ${loser.staff_continuity.returning_count}/3 returning (${loser.staff_continuity.new_count} new, ${loser.staff_continuity.partial_count} partial).",70.0,Context pending validation,Structural rule without attached betting record
returning_production_gap,Returning production,Total,Returning-production gap,,,,matchup_workspace.js add() template,Structural,False,,,Supports ${team.team}: #${ar.overall_rank??'—'} (${ar.overall_pct??'—'}%) vs #${hr.overall_rank??'—'} (${hr.overall_pct??'—'}%),60.0,Context pending validation,Structural rule without attached betting record
competition_${c.direction}_${team.team},Schedule spot,Spread,,,,,matchup_workspace.js add() template,Structural,False,,,"Current opponent #${c.current_opponent_rank} vs prior-schedule average #${num(c.prior_opponent_average_rank,0)} across ${c.prior_opponents} games (${Math.abs(Number(c.rank_gap)).toFixed(0)} rank spots).",52.0,Context pending validation,Potentially actionable but no historical sample attached
model_spread_edge,Model edge,Spread,Model spread edge,,,,matchup_workspace.js,Model output,False,,,,,Exclude,Already displayed in the main Openers columns
model_total_edge,Model edge,Total,Model total edge,,,,matchup_workspace.js,Model output,False,,,,,Exclude,Already displayed in the main Openers columns
