"Name","School","Conference","Overall","Routes","Hands","Run Block","Pass Block"
"Cade Callahan","ULM","SBC","9.46","10.57","7.85","0.31","0.31"
"Ryan Schwendeman","Wisc","Big10","9.46","9.53","9.86","0.35","0.35"
"Max Dowling","Mass","MAC","9.46","9.88","10.15","6.37","6.60"
"Dillon Galloway","App","SBC","9.45","9.90","7.80","8.50","11.59"
"Jude Nelson","UtSt","Pac12","9.45","9.45","9.45","9.45","9.45"
"Keawe Browne","Boise","Pac12","9.45","9.45","9.45","9.45","9.45"
"Sean Robinson","TT","Big12","9.45","9.45","9.45","9.45","9.45"
"Kade Bush","WVU","Big12","9.45","9.45","9.45","9.45","9.45"
"Andrew Olesh","Ore","Big10","9.45","9.45","9.45","9.45","9.45"
"Vander Ploog","NCSt","ACC","9.45","9.45","9.45","9.45","9.45"
"Kristian Ingman","AZSt","Big12","9.45","10.52","9.61","0.29","0.29"
"Logan Farrell","Illini","Big10","9.44","9.44","9.44","9.79","9.44"
"Zach Giuliano","Stan","ACC","9.43","9.43","9.43","9.43","9.43"
"Tripp Walsh","UNM","MWC","9.43","11.01","10.66","8.78","4.55"
"Carson Tabaracci","USC","Big10","9.43","11.08","11.46","9.28","12.47"
"Jerry Birdlow","ULLaf","SBC","9.41","9.41","9.41","9.41","9.41"
"Isaac Jensen","Mizz","SEC","9.41","9.41","9.41","9.41","9.41"
"Matt Ogunniyi","Mass","MAC","9.39","9.23","10.09","10.40","9.95"
"Tj Johnson","Mem","Amer","9.39","9.40","6.76","10.45","5.24"
"Jake Appleget","Fres","Pac12","9.38","9.33","14.22","10.15","13.76"
"Landon Drumm","WVU","Big12","9.37","9.37","9.37","9.37","9.37"
"Parker Ord","BYU","Big12","9.37","9.37","9.37","9.37","9.37"
"Jalen Williams","Cincy","Big12","9.37","9.37","9.37","9.37","9.37"
"Eli Johnson","Iowa","Big10","9.36","9.36","9.36","9.36","9.36"
"Joey Schlaffer","Temp","Amer","9.36","9.20","9.03","10.48","9.73"
"Carter Moses","KU","Big12","9.35","10.26","8.68","0.33","0.32"
"Christian Greenlaw","IASt","Big12","9.35","9.05","11.63","0.34","0.34"
"Devyn Curtis","ArkSt","SBC","9.35","9.35","9.35","9.35","9.35"
"Thomas Wadsworth","UCF","Big12","9.34","9.37","10.04","8.80","9.43"
"Evan Chieca","Fla","SEC","9.34","9.62","12.95","0.28","0.28"
"Marcus Monroe","Stan","ACC","9.33","9.33","9.33","9.33","9.33"
"Dominick Barry","Wake","ACC","9.33","9.33","9.33","9.33","9.33"
"Ben Gula","Col","Big12","9.33","9.33","9.33","9.33","9.33"
"Sam Hamilton","WVU","Big12","9.33","9.33","9.33","9.33","9.33"
"Cooper McCutchan","Purd","Big10","9.33","9.33","9.33","9.33","9.33"
"Jason Llewellyn","TT","Big12","9.33","9.18","2.43","11.84","11.62"
"Cooper Alexander","PSU","Big10","9.33","10.59","9.81","9.16","9.19"
"Ben Rothhaar","Rut","Big10","9.32","9.32","9.32","9.32","9.32"
"Kevin Roche Jr.","GATech","ACC","9.32","9.32","9.32","9.32","9.32"
"Connor Vaughn","NoTex","Amer","9.32","10.70","13.19","8.58","11.35"
"Evan Dangler","USF","Amer","9.30","8.75","5.48","9.03","13.96"
"Frank Abreu","Haw","MWC","9.30","9.20","9.05","8.83","6.60"
"Drake DeBaun","IASt","Big12","9.30","9.30","9.30","9.30","9.30"
"Jordan Vyborny","IASt","Big12","9.30","9.30","9.30","9.30","9.30"
"Jamal Frilot","UTEP","MWC","9.28","9.28","9.28","9.28","9.28"
"Ben Haulmark","IASt","Big12","9.28","10.14","10.84","0.85","0.85"
"Maddox Hunstad","BG","MAC","9.28","9.28","9.28","9.28","9.28"
"Blake Thiry","Ind","Big10","9.28","9.28","9.28","9.28","9.28"
"Cross Nimmo","WKU","CUSA","9.26","9.26","9.26","9.26","9.26"
"Simon Mapa","UNM","MWC","9.26","14.88","12.72","8.14","10.97"
"Parker Almanza","Bay","Big12","9.25","9.25","9.25","9.25","9.25"
"Will Randle","Tex","SEC","9.25","9.25","9.25","9.25","9.25"
"Adam Land","MissSt","SEC","9.25","9.25","9.25","9.25","9.25"
"Grant Houser","ColSt","Pac12","9.24","9.24","9.24","9.24","9.24"
"Nizyi Davis","Wisc","Big10","9.24","9.24","9.24","9.24","9.61"
"Reed Jesiolowski","KennSt","CUSA","9.24","11.09","10.90","7.76","8.83"
"Velltray Jefferson","UNLV","MWC","9.23","9.80","4.40","9.37","11.14"
"Sam Lee","Tol","MAC","9.22","10.87","11.31","7.69","11.43"
"Thomas Meyer","Iowa","Big10","9.22","9.32","4.77","10.02","13.00"
"Leon Haughton Jr.","ODU","SBC","9.22","9.57","8.09","10.61","8.11"
"Dream Rashad","UNC","ACC","9.22","9.22","9.22","9.22","9.22"
"Luca Wolf","Tenn","SEC","9.22","9.22","9.22","9.22","9.22"
"Max Roche","JMU","SBC","9.18","9.18","9.18","9.18","9.18"
"Braden Bach","TCU","Big12","9.18","9.18","9.18","9.18","9.18"
"John Locke Jr.","OU","SEC","9.17","9.30","11.21","9.47","11.66"
"David Clement","Cuse","ACC","9.17","10.30","11.31","10.94","14.42"
"Zayne DeSouza","Col","Big12","9.16","9.16","9.16","9.16","9.16"
"Gus Ritchey","NCSt","ACC","9.15","9.15","9.15","9.50","9.15"
"Brooks Johnson","FAU","Amer","9.15","10.69","10.51","7.43","11.53"
"Tyler Jansey","Wisc","Big10","9.14","9.14","9.14","9.49","9.14"
"Dylan Sims","UCLA","Big10","9.13","9.13","9.13","9.13","9.13"
"Jase Hoath","ULM","SBC","9.12","9.21","11.75","0.41","0.41"
"Ray Lotten","NMSt","CUSA","9.12","8.97","7.56","9.91","12.45"
"Justin Zames","UVA","ACC","9.12","9.12","9.12","9.12","9.12"
"Jq Crosby","GASo","SBC","9.10","9.10","9.10","9.10","9.10"
"Brady Owens","Rut","Big10","9.10","9.10","9.10","9.10","9.10"
"Charlie Jilek","Tex","SEC","9.10","9.10","9.10","9.10","9.10"
"Jude Cascone","Bama","SEC","9.10","9.10","9.10","9.10","9.10"
"Cody Siegner","OreSt","Pac12","9.09","9.09","9.09","9.09","9.09"
"Sam Peters","Minn","Big10","9.09","9.09","9.09","9.09","9.09"
"Jack Nickel","MiaFL","ACC","9.08","8.47","11.21","12.29","9.01"
"Drew Clemens","NoTex","Amer","9.07","9.07","9.07","9.07","9.07"
"Brett Elliott","Duke","ACC","9.07","9.07","9.07","9.07","9.07"
"Marcus Vinson","FAU","Amer","9.07","9.88","14.84","8.45","11.42"
"Kanen Hamlett","ECU","Amer","9.06","9.95","7.89","9.19","7.55"
"Darren Schmitt","Nev","MWC","9.06","9.06","9.06","9.06","9.06"
"Landon Pace","Wyo","MWC","9.06","9.06","9.06","9.06","9.06"
"Theo Elwell","Navy","Amer","9.06","9.56","0.80","9.52","8.03"
"Ezra Burgess","ArkSt","SBC","9.06","7.28","1.23","10.42","11.07"
"Luke Clyburn","USF","Amer","9.03","10.28","10.16","0.48","0.48"
"Khristian Mackintrush","ULLaf","SBC","9.03","9.03","9.03","9.03","9.03"
"Jacob Newell","Tol","MAC","9.02","9.02","9.02","9.02","9.02"
"DJ Broughton Jr.","Aub","SEC","9.02","9.02","9.02","9.02","9.02"
"Joshua Burrell","ArkSt","SBC","9.02","9.10","12.21","0.67","0.50"
"Lane Wadle","Char","Amer","9.02","9.85","14.34","8.93","9.95"
"Marquis Harris","Troy","SBC","9.01","10.64","10.83","1.14","1.14"
"Jordan Washington","UNC","ACC","9.01","9.64","4.74","11.37","7.29"
"Charlie Wingfield","Wake","ACC","9.01","9.01","9.01","9.01","9.01"
"Jacory Thurman","Hou","Big12","9.01","9.01","9.01","9.01","9.01"
"Kade Eldridge","Wash","Big10","8.98","9.53","13.54","9.81","10.74"
"Dj Asiasi","Nev","MWC","8.97","9.40","9.90","8.81","9.05"
"Troy Grizzle","Boise","Pac12","8.97","11.16","9.29","8.56","9.24"
"Matt Smith","SHSt","CUSA","8.97","8.73","11.76","2.16","1.85"
"Jewlyen Roberts","Tuls","Amer","8.96","8.21","7.45","10.99","10.93"
"Brody Lennon","OSU","Big10","8.96","8.96","8.96","10.68","8.96"
"Kyle Koontz","SacSt","MAC","8.96","9.05","11.47","1.08","1.08"
"Wyatt Hook","Akr","MAC","8.95","8.95","8.95","8.95","8.95"
"Matt Byrnes","UNLV","MWC","8.95","8.95","12.75","9.81","11.81"
"Jordan Williams","SacSt","MAC","8.95","8.55","8.06","0.94","0.50"
"Max Leeper","UNM","MWC","8.95","8.95","8.95","8.95","8.95"
"Colby Simpson","Tul","Amer","8.95","8.95","8.95","8.95","8.95"
"Eli Wilt","WKU","CUSA","8.93","8.93","8.93","8.93","8.93"
"Derron Gray Jr.","BG","MAC","8.93","8.93","8.93","8.93","8.93"
"Preston McDaniel","UtSt","Pac12","8.93","8.93","8.93","8.93","8.93"
"Julius Mathis","SoAla","SBC","8.93","8.93","8.93","8.93","8.93"
"Jack Merryman","SHSt","CUSA","8.93","8.93","8.93","8.93","8.93"
"Lucas Hoffmeyer","CMich","MAC","8.93","8.93","8.93","8.93","8.93"
"Jon Grimmett","Purd","Big10","8.93","8.93","8.93","8.93","8.93"
"Stephen Brown","NCSt","ACC","8.90","8.90","8.90","8.90","8.90"
"Devon Martin","SMU","ACC","8.89","8.89","8.89","8.89","8.89"
"Mason Peterson","TCU","Big12","8.89","8.89","8.89","9.24","8.89"
"Morgan McPhaul","OKSt","Big12","8.87","8.69","12.49","0.22","0.22"
"Maximilian Tillfeldt Retsler","Wake","ACC","8.87","8.87","8.87","8.87","8.87"
"Max Tillfeldt Retsler","Wake","ACC","8.87","8.87","8.87","8.87","8.87"
"Dayton Raiola","Ore","Big10","8.87","8.87","8.87","8.87","8.87"
"Brayden Marko","Mary","Big10","8.87","8.87","8.87","8.87","8.87"
"Connor Roush","GATech","ACC","8.87","8.87","8.87","8.87","8.87"
"Oakie Salave'a","Haw","MWC","8.86","9.58","9.25","8.09","9.68"
"Micah Riley","A&M","SEC","8.85","10.31","4.69","9.36","11.41"
"Kari Ashley","TCU","Big12","8.85","8.85","8.85","8.85","8.85"
"Maurice Brown II","SoCar","SEC","8.84","9.23","7.32","8.97","13.38"
"Jailen Butler","KU","Big12","8.83","8.26","7.06","9.74","10.73"
"Brady Shust","Wake","ACC","8.83","8.83","8.83","8.83","8.83"
"Isaiah Pina","VT","ACC","8.83","8.83","8.83","8.83","8.83"
"Carter Bashir","Cuse","ACC","8.83","8.83","8.83","8.83","8.83"
"Wyatt Villarreal","Pitt","ACC","8.83","8.83","8.83","8.83","8.83"
"Harrison Saint Germain","VT","ACC","8.82","9.43","12.15","10.49","8.63"
"Danny Lewis Jr.","Bama","SEC","8.82","8.44","9.42","12.60","12.80"
"Charlie Crowell","Wash","Big10","8.81","8.81","8.81","8.81","8.81"
"Gerard Bullock Jr.","KennSt","CUSA","8.80","9.68","14.47","5.39","6.51"
"Miles Uter","SMU","ACC","8.80","8.80","8.80","8.80","8.80"
"Gabe Lovorn","Tul","Amer","8.79","8.87","6.10","9.03","9.58"
"Bear Fisher","Utah","Big12","8.79","8.79","8.79","8.79","8.79"
"Evan Poticher","MTSU","CUSA","8.78","9.10","10.70","9.77","9.98"
"Kevin Schaeffer","FIU","CUSA","8.78","9.44","7.93","0.75","0.74"
"Joshua Brantley","LATech","SBC","8.78","8.78","8.78","8.78","8.78"
"Cameron Roberts","Tul","Amer","8.78","8.78","8.78","8.78","8.78"
"Noah LaPorte","NW","Big10","8.78","8.78","8.78","8.78","8.78"
"Wyatt Bowman","Cuse","ACC","8.78","8.78","8.78","8.78","9.15"
"Emmett Bork","Wisc","Big10","8.78","8.78","8.78","9.12","8.78"
"Elijah Sessoms","Del","CUSA","8.77","8.86","12.78","6.20","8.31"
"Xavier Watson","Conn","Inde","8.76","8.76","8.76","8.76","8.76"
"Xavier Anderson","WVU","Big12","8.75","8.75","8.75","8.75","8.75"
"J'Qwan Crosby","GASo","SBC","8.75","8.75","8.75","8.75","8.75"
"Benny Okwura","UTEP","MWC","8.75","8.75","8.75","8.75","8.75"
"Andrevius Smith","JackSt","CUSA","8.75","8.75","8.75","8.75","8.75"
"Jameson Scissum","JackSt","CUSA","8.75","8.75","8.75","8.75","8.75"
"Nathan Piggott","EMich","MAC","8.75","8.75","8.75","8.75","8.75"
"Ryan Rocheleau","WMich","MAC","8.75","8.75","8.75","8.75","8.75"
"Ayden Passley","FIU","CUSA","8.75","8.75","8.75","8.75","8.75"
"Owen Pollock","FAU","Amer","8.75","8.75","8.75","8.75","8.75"
"Brody Dawyot","Char","Amer","8.75","8.75","8.75","8.75","8.75"
"Liam Fuller","Temp","Amer","8.75","8.75","8.75","8.75","8.75"
"Merrick Barlow","Navy","Amer","8.75","8.75","8.75","8.75","8.75"
"Brooks Hall","UCF","Big12","8.75","8.75","8.75","8.75","8.75"
"Carter Zuliani","WVU","Big12","8.75","8.75","8.75","8.75","8.75"
"Drew Byrd","IASt","Big12","8.75","8.75","8.75","8.75","8.75"
"Dakota Taylor","Kent","MAC","8.75","9.09","10.13","8.61","10.25"
"Maxence LeBlanc","OSU","Big10","8.75","8.75","8.75","11.21","8.75"
"Grant Smith","Illini","Big10","8.72","8.72","8.72","8.72","8.72"
"Isaac Schoenfeld","Wyo","MWC","8.72","8.98","11.74","10.37","11.36"
"Kache Kaio","UtSt","Pac12","8.71","8.57","11.68","10.14","8.38"
"Elijah Lagg","Pitt","ACC","8.69","8.65","13.59","9.11","12.90"
"Jack Ellis","SDSU","Pac12","8.67","8.67","8.67","8.67","8.67"
"Luke Galer","IASt","Big12","8.67","8.67","8.67","8.67","8.67"
"Jaden Allen","CMich","MAC","8.66","8.73","10.95","0.69","0.73"
"Mikkel Skinner","UK","SEC","8.66","8.66","8.66","10.33","10.75"
"Lonnie Johnson","ODU","SBC","8.64","8.64","8.64","8.64","8.64"
"James Falk","Rice","Amer","8.64","7.69","7.25","10.42","12.50"
"George Rohl","Minn","Big10","8.63","8.63","8.63","8.63","8.63"
"Brice Williamson","App","SBC","8.63","8.63","8.63","8.63","8.63"
"Peyton Strickland","Tol","MAC","8.63","8.83","13.36","0.38","0.38"
"Kameron Anthony","Rut","Big10","8.62","10.48","5.66","8.40","11.31"
"Cayman Reynolds","ECU","Amer","8.60","8.60","8.60","8.60","8.60"
"Kana'i Lopes","Utah","Big12","8.60","8.60","8.60","9.59","8.60"
"Jeremiah Beck, Jr.","SMiss","SBC","8.59","8.64","6.34","8.72","6.34"
"DaMari Witherspoon","Cincy","Big12","8.58","8.58","8.58","9.22","8.58"
"Kaden Glover","Navy","Amer","8.58","8.58","8.58","8.58","8.58"
"Shane Kiley","SJSt","MWC","8.58","8.58","8.58","8.58","8.58"
"Broderick Peters","SMiss","SBC","8.58","8.58","8.58","8.58","8.58"
"Zack Wagner","CMich","MAC","8.58","8.58","8.58","8.58","8.58"
"Gavin Gregory","Cincy","Big12","8.58","8.58","8.58","8.58","8.58"
"Bryce McDaniel","Fres","Pac12","8.55","8.55","8.55","8.55","8.55"
"Braiden Bachich-Dixon","SJSt","MWC","8.54","8.54","8.54","8.54","8.54"
"DeCorion Temple","OreSt","Pac12","8.53","8.73","8.63","9.33","11.14"
"Tayvion Galloway","MTSU","CUSA","8.52","7.48","1.78","13.04","13.98"
"Ka'Maurri Smith","Cincy","Big12","8.52","8.52","8.52","9.01","8.52"
"Elija Walton","GASo","SBC","8.52","8.64","6.33","9.22","3.03"
"Greyson Labiad","FSU","ACC","8.51","8.38","9.66","8.54","10.25"
"Cole Snodgrass","TexSt","Pac12","8.50","8.50","8.50","9.15","8.50"
"Brady Prieskorn","Miss","SEC","8.50","8.50","8.50","11.74","8.50"
"Trey Zvonar","MiaOH","MAC","8.50","8.50","8.50","8.50","8.50"
"Cameron Kossmann","BC","ACC","8.50","8.50","8.50","8.50","8.87"
"Drake Martinez","Tenn","SEC","8.49","9.54","11.90","0.37","0.37"
"Tyler Klaner","NIU","MWC","8.48","8.48","8.48","8.48","8.48"
"Gavin Barber","App","SBC","8.48","8.48","8.48","8.48","8.48"
"Elijah Muliufi","SDSU","Pac12","8.48","8.48","8.48","8.48","8.48"
"Brody Wilhelm","Bay","Big12","8.48","8.48","8.48","8.48","8.48"
"Maurice Veney","Vand","SEC","8.47","8.36","6.18","6.18","6.18"
"Trent Thomas","Tenn","SEC","8.46","9.60","13.82","9.07","11.99"
"Jackson Kohl","CoCar","SBC","8.46","8.46","8.46","8.46","8.46"
"Jerry Lydiatt","NMSt","CUSA","8.46","7.79","4.39","11.80","6.20"
"Jt Taggart","Mary","Big10","8.45","8.25","5.57","9.44","11.83"
"Liam Russo","NIU","MWC","8.45","8.45","8.45","8.45","8.45"
"Nick Hampton","Troy","SBC","8.44","8.44","8.44","8.44","8.44"
"KD Mosley","JMU","SBC","8.43","9.28","8.94","0.32","0.32"
"Andrew Barker","Ind","Big10","8.42","8.42","8.42","8.77","8.42"
"Stephen Collier","ECU","Amer","8.41","8.41","8.41","8.41","8.41"
"Kaden Anderson","Boise","Pac12","8.41","8.41","8.41","8.41","8.41"
"Brandon Kubay","USF","Amer","8.41","8.41","8.41","8.74","8.41"
"Hunter Herring","Aub","SEC","8.40","8.40","9.82","11.63","9.93"
"Kenneth Morgan","GASt","SBC","8.40","8.40","8.40","8.40","8.40"
"Trent Taylor","BG","MAC","8.40","8.40","8.40","8.40","8.40"
"Matthew Tybor","Mass","MAC","8.40","8.40","8.40","8.40","8.40"
"Andreas Diaz-Nicolaidis","UNLV","MWC","8.40","8.40","8.40","8.40","8.40"
"Ian Premer","ND","Inde","8.40","8.40","8.40","8.40","8.40"
"Zach Becker","Ball","MAC","8.40","8.40","8.40","8.40","8.40"
"Armaad Sharp","EMich","MAC","8.40","8.40","8.40","8.40","8.40"
"William Mayes","LATech","SBC","8.40","8.40","8.40","8.40","8.40"
"Gabriel Cline","UAB","Amer","8.40","8.40","8.40","8.40","8.40"
"Cash Landau","WashSt","Pac12","8.40","8.40","8.40","8.40","8.40"
"Peyton Read","WashSt","Pac12","8.40","8.40","8.40","8.40","8.40"
"Ryley Zalusky","USF","Amer","8.40","8.40","8.40","8.40","8.40"
"BJ Thurman","Illini","Big10","8.40","8.40","8.40","8.40","8.40"
"Luke Hutchinson","MissSt","SEC","8.40","8.40","8.40","8.40","8.40"
"Kaleb Morrow","ECU","Amer","8.35","8.35","8.35","8.35","8.35"
"Nader Chirchi","ColSt","Pac12","8.33","7.15","3.64","10.94","10.58"
"Russell Crawford","TexSt","Pac12","8.32","8.32","8.32","8.32","8.32"
"Landon Cook","OreSt","Pac12","8.32","8.32","8.32","8.32","8.32"
"Ian Flynt","NCSt","ACC","8.30","8.30","8.30","9.52","8.52"
"Matthew Fredrick","BYU","Big12","8.30","8.30","8.30","8.30","8.30"
"David Alpers III","JackSt","CUSA","8.29","8.93","12.02","0.41","0.39"
"Xavier Newsom","Aub","SEC","8.29","8.34","10.77","2.35","2.35"
"Jax Markovich","Mass","MAC","8.26","8.47","7.15","8.60","12.87"
"Trevor Wilson","Buff","MAC","8.26","9.19","12.49","0.23","0.22"
"Jake Wilson","Wyo","MWC","8.25","8.25","8.25","8.47","8.25"
"Dj Johnson","BC","ACC","8.25","8.25","8.25","9.45","8.25"
"Carsen Melvin","BG","MAC","8.25","8.25","8.25","8.25","8.25"
"Vai Fanuaea","Haw","MWC","8.23","8.23","8.23","8.23","8.23"
"Jackson Stoner","UTEP","MWC","8.23","8.23","8.23","8.23","8.23"
"Rowen Walsh","Del","CUSA","8.23","8.23","8.23","8.23","8.23"
"Ethan Gurela","JMU","SBC","8.23","8.23","8.23","8.23","8.23"
"Brady Shelton","EMich","MAC","8.23","8.23","8.23","8.23","8.23"
"Kam Taylor","Lib","CUSA","8.23","8.23","8.23","8.23","8.23"
"Jerious Singletary","NoTex","Amer","8.23","8.23","8.23","8.23","8.23"
"Matt Buron","GaSt","SBC","8.22","8.97","11.19","1.01","1.59"
"Jackson Carver","MiaFL","ACC","8.21","8.21","8.21","9.96","9.52"
"Luke Kokat","NDSt","MWC","8.19","5.92","3.15","0.89","0.89"
"Chris Gacayan II","Tuls","Amer","8.19","8.21","7.59","7.59","7.59"
"Quandre Coates","ULLaf","SBC","8.18","8.18","8.18","8.18","8.18"
"Gavin Markey","FSU","ACC","8.16","8.16","8.16","8.50","8.16"
"Jake Renda","Rice","Amer","8.15","8.21","7.41","9.17","8.65"
"Ishmael Muhammad","Wyo","MWC","8.13","8.13","8.13","8.13","8.13"
"Tayte Crable","USF","Amer","8.13","8.13","8.13","8.13","8.13"
"Kaden Zenzen","NDSt","MWC","8.11","9.26","10.26","0.68","0.68"
"Brody Benke","MTSU","CUSA","8.10","8.10","8.10","8.94","8.78"
"Aj Szymanski","Mary","Big10","8.10","10.31","9.43","8.16","10.91"
"Dylan Burk","UCF","Big12","8.10","9.43","9.39","7.37","11.17"
"Connor Gooding","SMiss","SBC","8.06","8.06","8.06","8.06","8.06"
"Wilson Hodges","MTSU","CUSA","8.06","8.06","8.06","8.06","8.06"
"Jake Taylor","Duke","ACC","8.05","8.68","6.09","9.90","9.21"
"Scott Moore","Del","CUSA","8.05","8.61","9.79","8.12","13.34"
"Trysten Laughlin","UTSA","Amer","8.05","8.05","8.05","8.05","8.05"
"Na'o Tito","SacSt","MAC","8.05","8.05","8.05","8.05","8.05"
"Walker Kirkland","GASt","SBC","8.05","8.05","8.05","8.05","8.05"
"Elijah Huddle","SacSt","MAC","8.05","8.05","8.05","8.05","8.05"
"Caden Ward","NDSt","MWC","8.05","8.05","8.05","8.05","8.05"
"Gabriel Cunningham","NDSt","MWC","8.05","8.05","8.05","8.05","8.05"
"Zane Gerbo","Fres","Pac12","8.05","8.05","8.05","8.05","8.05"
"Sebastien Boydell","Fres","Pac12","8.05","8.05","8.05","8.05","8.05"
"Chris Warren","ODU","SBC","8.05","8.05","8.05","8.05","8.05"
"Elijah Alexander","Akr","MAC","8.05","8.05","8.05","8.05","8.05"
"Luke Lopez","NMSt","CUSA","8.05","8.05","8.05","8.05","8.05"
"Davis Brown","FIU","CUSA","8.05","8.05","8.05","8.05","8.05"
"Brock Camp","ColSt","Pac12","8.05","8.05","8.05","8.05","8.05"
"Jordan Morris","SoAla","SBC","8.04","8.04","8.04","8.04","8.04"
"Brayden Boeing","MiaOH","MAC","8.01","8.01","8.01","8.01","8.01"
"Brock Lium","Fres","Pac12","8.01","8.60","8.76","7.20","8.66"
"Grant Laskey","Char","Amer","7.99","7.99","7.99","7.99","7.99"
"Javery Mayberry","SMiss","SBC","7.98","7.72","6.23","6.23","6.23"
"Michael Gelatko","Buff","MAC","7.95","7.95","7.95","7.95","7.95"
"Aiden Black","Stan","ACC","7.92","7.92","7.92","9.37","9.82"
"Willem Thurber","UVA","ACC","7.92","7.92","7.92","8.91","7.92"
"Ryan Eldridge","Ball","MAC","7.90","7.90","7.90","7.90","7.90"
"Ish Muhammad","Wyo","MWC","7.88","7.88","7.88","7.88","7.88"
"Jahlil Lindsey","SacSt","MAC","7.88","7.88","7.88","7.88","7.88"
"Johan Camacho","UTEP","MWC","7.88","7.88","7.88","7.88","7.88"
"Preston Fryzel","ND","Inde","7.88","7.88","7.88","7.88","7.88"
"Aj Seymour","Ball","MAC","7.88","7.88","7.88","7.88","7.88"
"TJ Sabatucci","Buff","MAC","7.88","7.88","7.88","7.88","7.88"
"London Deyon","SHSt","CUSA","7.88","7.88","7.88","7.88","7.88"
"Hayden Bradley","Miss","SEC","7.84","7.84","7.84","10.11","7.84"
"Eli Owens","Mich","Big10","7.83","7.83","7.83","11.16","7.83"
"Rhys Phillips","Rice","Amer","7.83","7.83","7.83","7.83","7.83"
"Henry Garrity","ND","Inde","7.82","7.82","7.82","8.17","7.82"
"Luke Tevis","Tuls","Amer","7.82","7.82","7.82","8.15","7.82"
"Jackson Long","GASo","SBC","7.81","7.81","7.81","9.20","8.70"
"Brady Rhoad","WMich","MAC","7.80","7.80","7.80","8.13","7.80"
"Gavin Garretson","Ark","SEC","7.79","7.79","7.79","9.07","9.22"
"Brendan Loftus","MiaOH","MAC","7.78","7.78","7.78","7.78","7.78"
"Carter Kuchenbuch","Boise","Pac12","7.74","7.74","7.74","8.69","7.74"
"Harry Caskey","AirF","MWC","7.72","7.72","7.72","7.72","7.72"
"Cedric Anton","SacSt","MAC","7.71","7.71","7.71","7.71","7.71"
"Ethan Rodriguez","Idaho","Big Sky","7.70","7.70","7.70","7.70","7.70"
"Jack Hodge","SacSt","MAC","7.70","7.70","7.70","7.70","7.70"
"Payton Kokaly","EMich","MAC","7.70","7.70","7.70","7.70","7.70"
"Colton Cole","Rice","Amer","7.70","7.70","7.70","7.70","7.70"
"Beckham Hofland","Boise","Pac12","7.70","7.70","7.70","7.70","7.70"
"Rhett McGrew","Marsh","SBC","7.69","7.69","7.69","7.69","7.69"
"Cooper Stevens","SHSt","CUSA","7.67","7.67","7.67","7.67","7.67"
"Kola Babalola","Nev","MWC","7.67","7.58","8.08","8.92","5.36"
"Kamaehu Kopa-Kaawalauole","SJSt","MWC","7.66","7.66","7.66","7.66","7.66"
"Jonathan Harding","Mem","Amer","7.65","7.65","7.65","8.63","7.65"
"Wyatt Herbel","Hou","Big12","7.64","7.64","7.64","9.47","7.64"
"Lofton Howard","WKU","CUSA","7.61","7.60","7.03","8.74","11.61"
"Chris Petrucci","NW","Big10","7.52","7.52","7.30","9.94","7.55"
"Stevie Amar Jr.","UCLA","Big10","7.50","7.50","7.50","8.71","7.50"
"Carson Su'esu'e","NMSt","CUSA","7.50","7.50","7.50","9.52","8.69"
"Jayden O'Rourke","Nev","MWC","7.49","8.12","8.68","8.25","7.65"
"Harry Lodge","UCLA","Big10","7.49","8.24","8.27","9.42","12.13"
"Jackson Shockley","Tuls","Amer","7.48","7.48","7.48","7.48","7.48"
"Owen Ruskavich","MiaFL","ACC","7.47","6.79","2.78","9.08","7.74"
"Wyatt Smalley","Miss","SEC","7.46","7.64","7.78","7.76","6.48"
"Tanner Hollinger","Illini","Big10","7.41","7.41","7.41","8.48","7.41"
"Mikey Pauley","KU","Big12","7.37","7.37","7.37","8.84","7.37"
"Austin Simmons","Wash","Big10","7.36","7.36","7.36","10.51","9.90"
"Dominic Henning","AirF","MWC","7.35","7.35","7.35","7.35","7.35"
"Chase Tatum","KennSt","CUSA","7.35","7.35","7.35","7.35","7.35"
"Ben Verges","CoCar","SBC","7.35","7.35","7.35","7.35","7.35"
"Tyler Siddons","Wyo","MWC","7.34","9.11","11.88","0.74","0.74"
"Fisher Clements","Col","Big12","7.33","7.18","8.46","0.54","0.54"
"Alex Godavitarne","Conn","Inde","7.32","7.62","5.81","4.56","4.56"
"Quinton Conley","KU","Big12","7.30","7.30","7.30","10.17","7.30"
"Joeseph Skipworth","MissSt","SEC","7.25","7.25","7.25","10.56","7.25"
"Gavin Hoffman","Mizz","SEC","7.16","7.16","7.16","10.21","7.16"
"Griffin Reimer","WKU","CUSA","7.14","7.37","6.82","6.51","4.23"
"Cole Harrison","Tenn","SEC","7.12","6.44","8.67","10.47","8.98"
"Dillon Hipp","MOSt","CUSA","7.12","10.17","13.26","7.77","9.51"
"Clemens Richter","Conn","Inde","7.02","7.02","7.02","7.02","7.02"
"Omari Murdock","AirF","MWC","7.00","7.00","7.00","7.00","7.00"
"Jackson Holt","EMich","MAC","7.00","7.00","7.00","7.00","7.00"
"Dawson McFadin","ArkSt","SBC","7.00","7.00","7.00","7.00","7.00"
"Jakson Judge","Tul","Amer","7.00","7.00","7.00","7.00","7.00"
"Tyler Hampton","Wyo","MWC","7.00","7.00","7.00","7.00","7.00"
"Justice Rider","Navy","Amer","7.00","7.00","7.00","7.00","7.00"
