"Name","School","Conference","Overall","Pass Block","Run Block","Discipline"
"Malachi Toliver","UGA","SEC","11.86","11.09","15.17","14.65"
"Louie Canepa","OKSt","Big12","11.86","11.87","11.94","15.10"
"Emmanuel Kojo Poku","SoCar","SEC","11.86","11.43","12.82","15.94"
"Harris Sewell","Clem","ACC","11.86","12.18","10.42","16.02"
"Brandon Best","ECU","Amer","11.85","10.58","15.10","17.10"
"Ashton Funk","A&M","SEC","11.85","11.14","14.88","12.25"
"Shalik Hubbard","SoAla","SBC","11.84","12.10","11.97","16.19"
"Shed Sarratt Jr.","SoCar","SEC","11.82","10.34","13.99","16.12"
"Cole Principe","Rice","Amer","11.82","11.84","13.19","14.25"
"Tree Babalade","Neb","Big10","11.82","11.38","13.04","14.83"
"Max Buchanan","MiaFL","ACC","11.80","11.42","14.26","12.79"
"Ethan Spencer","Haw","MWC","11.80","11.03","14.22","14.98"
"Cayden Sweatt","App","SBC","11.80","11.35","12.52","16.00"
"Ben Taylor-Whitfield","TCU","Big12","11.80","12.30","12.29","14.30"
"Gavin Broscious","IASt","Big12","11.80","11.40","12.10","15.30"
"Kamari Blair","Tenn","SEC","11.79","11.79","11.79","11.79"
"Claude Mpouma","Neb","Big10","11.79","11.79","11.79","11.79"
"Jack Lange","Mizz","SEC","11.77","11.77","10.48","11.79"
"Solatoa Moea'i","Utah","Big12","11.77","10.92","13.65","14.88"
"Calib Perez","UAB","Amer","11.77","11.45","12.93","15.07"
"Montavious Cunningham","VT","ACC","11.76","12.17","12.24","14.76"
"TJ Shanahan Jr.","Fla","SEC","11.76","11.44","13.73","15.29"
"Aidan Kilstrom","Stan","ACC","11.76","11.90","11.36","16.38"
"Ben Galloway","FAU","Amer","11.76","12.33","11.05","11.24"
"Tj Tarascio","AirF","MWC","11.75","11.67","9.86","13.69"
"Hank Zilinskas","Rut","Big10","11.75","12.20","12.53","13.24"
"Noah Rosahac","Del","CUSA","11.75","12.31","10.81","15.78"
"Kaliem Croswell","ULM","SBC","11.74","11.54","13.98","12.50"
"Juan Gaston","UGA","SEC","11.74","11.68","10.43","16.64"
"Deacon Rawls","JMU","SBC","11.74","12.16","9.13","14.35"
"Michael Myslinski","Iowa","Big10","11.74","9.72","14.08","12.47"
"Ja'Marion Kennedy","Wake","ACC","11.73","11.24","12.46","14.56"
"Luke Baklenko","AZSt","Big12","11.73","11.14","12.01","16.01"
"Connor Stroh","KU","Big12","11.73","11.13","12.67","15.88"
"Christian Williams","Lib","CUSA","11.73","11.29","13.10","14.57"
"Aleric Watson","ArkSt","SBC","11.72","10.43","12.71","16.17"
"Jordon Jones","Troy","SBC","11.72","11.65","11.78","14.37"
"Luke Sandy","Char","Amer","11.70","9.12","13.42","13.28"
"Fox Crader","Ore","Big10","11.70","9.79","16.26","14.55"
"Nathan Geiger","Wyo","MWC","11.70","13.22","10.35","12.37"
"Wil Saxton","ArkSt","SBC","11.70","11.88","11.87","15.30"
"Vlad Dyakonov","USC","Big10","11.70","11.70","11.70","11.70"
"Hunter Zambrano","TT","Big12","11.70","12.61","10.96","14.76"
"Josiah Chenault","SHSt","CUSA","11.70","11.88","13.11","15.67"
"Reese Osei-Wusu","SoAla","SBC","11.70","10.51","13.99","13.82"
"Nate Bledsoe","Rice","Amer","11.69","11.74","10.41","14.24"
"Hayden Christman","LATech","CUSA","11.69","11.31","12.19","16.63"
"Colin Cubberly","Wisc","Big10","11.68","11.28","12.73","15.09"
"Malcolm Johnson","Navy","Amer","11.68","11.71","10.56","15.62"
"Braylon Jenkins","Wyo","MWC","11.67","12.60","9.51","13.19"
"Bastian Swinney","Cal","ACC","11.66","12.05","12.60","13.91"
"Makua Pule","AZSt","Big12","11.66","11.84","13.78","13.55"
"Seuseu ""SJ"" Alofaituli","MiaFL","ACC","11.66","11.79","14.20","12.80"
"Michael Bennett III","Ore","Big10","11.66","11.82","10.79","16.43"
"Braden Smith","IASt","Big12","11.65","11.43","13.26","14.56"
"Matthew Greene","MOSt","CUSA","11.65","10.34","13.84","14.64"
"Tray Franklin","CoCar","SBC","11.65","11.84","11.43","15.65"
"Mitchell Butler","MiaOH","MAC","11.65","11.57","7.31","13.59"
"George Jackson","ULLaf","SBC","11.64","11.77","11.78","13.89"
"Chris Hood","Ball","MAC","11.64","12.33","11.25","15.54"
"Lance Johnson","JackSt","CUSA","11.64","11.16","12.38","15.79"
"Gabe VanSickle","OSU","Big10","11.64","12.20","7.10","14.71"
"Brady Norton","Mich","Big10","11.64","13.97","9.47","14.08"
"Michael Leville Watkins","SDSU","Pac12","11.63","11.43","8.51","11.19"
"John Iannuzzi","CMich","MAC","11.63","12.04","11.23","14.84"
"Andrew Chamblee","SMU","ACC","11.62","11.11","12.08","14.73"
"Reese Steele","ULM","SBC","11.62","12.04","13.87","13.78"
"Carter Lowe","OSU","Big10","11.62","11.54","13.44","12.71"
"Saquon Miles","MissSt","SEC","11.61","11.50","10.84","10.25"
"D'Anthis Upshaw Jr.","TT","Big12","11.61","11.47","10.52","13.19"
"Kyle Altuner","VT","ACC","11.61","12.66","10.92","14.11"
"Koltin Sieracki","Bay","Big12","11.60","12.25","9.18","15.69"
"Ethan Newman","Nev","MWC","11.60","11.73","12.00","15.61"
"Davion Hurth","UTSA","Amer","11.60","11.00","14.84","13.14"
"Trevin Ostler","BYU","Big12","11.59","11.49","13.34","11.94"
"Luke Rogers","SMiss","SBC","11.59","10.35","12.44","14.84"
"Grant Ellinger","UVA","ACC","11.59","10.72","13.08","11.83"
"Luke Lapeze","UTSA","Amer","11.58","13.12","11.10","14.86"
"Cam East","Tuls","Amer","11.58","10.86","12.32","15.55"
"William Boone","TexSt","Pac12","11.57","12.55","10.97","15.54"
"Isaac Lucas","SDSU","Pac12","11.57","11.47","11.78","15.55"
"Jake Peters","Neb","Big10","11.57","11.13","12.45","11.10"
"Brendan Black","Neb","Big10","11.56","9.59","11.03","16.56"
"Nick Morrow","KU","Big12","11.56","11.99","11.54","15.31"
"Micah DeBose","Vand","SEC","11.55","11.55","10.27","11.58"
"Maxwell Riley","OSU","Big10","11.55","11.55","11.55","11.55"
"Max Riley","OSU","Big10","11.55","11.55","11.55","11.55"
"Mason Myers","ArkSt","SBC","11.55","11.76","12.69","14.56"
"Trevor Pay","BYU","Big12","11.54","11.05","12.05","11.19"
"Tony Nelson","Minn","Big10","11.54","10.26","13.65","13.95"
"Joseph Ionata","GATech","ACC","11.54","12.47","11.34","11.98"
"Mac Walters","App","SBC","11.54","11.65","12.33","10.82"
"Grayson Stovall","Zona","Big12","11.53","10.87","11.42","12.75"
"Jayvin James","Bama","SEC","11.53","11.77","12.06","15.13"
"Bj Tolo","UNLV","MWC","11.53","12.59","11.10","15.92"
"Jacqawn McRoy","UNC","ACC","11.53","11.44","9.68","12.34"
"Isaiah Kema","Utah","Big12","11.53","11.24","12.32","11.42"
"Moshood Giwa","Rut","Big10","11.53","13.90","9.95","15.53"
"Coen Echols","A&M","SEC","11.52","10.40","13.45","16.73"
"Alani Noa","USC","Big10","11.52","10.50","11.55","16.37"
"Terez Davis","Miss","SEC","11.52","11.64","10.97","15.13"
"Ory Williams","Tenn","SEC","11.52","13.14","12.80","10.67"
"Drew Cunningham","NoTex","Amer","11.52","10.72","12.67","14.42"
"Aba Selm","UK","SEC","11.52","11.91","11.01","11.53"
"Garrett Sexton","PSU","Big10","11.51","11.37","11.73","12.40"
"Ben Congdon","MiaFL","ACC","11.51","11.51","11.51","11.51"
"Thomas Shrader","USF","Amer","11.51","10.93","12.69","15.64"
"Marcus Harrison","UGA","SEC","11.50","12.06","7.63","11.61"
"Ellis Davis","TT","Big12","11.49","11.49","11.49","11.49"
"Scott Becker","Rice","Amer","11.48","11.26","11.89","15.93"
"Kris Manu","MiaOH","MAC","11.47","11.40","12.65","15.33"
"Carter Miller","SoCar","SEC","11.47","13.07","11.95","13.95"
"Gernorris Wilson","Ore","Big10","11.47","11.36","11.19","13.93"
"Chris Terek","ND","Inde","11.47","13.14","6.91","13.72"
"Charlie Adams","KSt","Big12","11.47","10.41","12.36","15.04"
"Gunner Givens","Vand","SEC","11.47","10.85","15.28","11.83"
"Sean Crowley","Navy","Amer","11.46","11.74","9.90","15.98"
"Bryce Gilmore","TT","Big12","11.46","11.46","11.46","11.46"
"Jake Taylor","IASt","Big12","11.45","12.83","10.63","14.77"
"Leo Delaney","Clem","ACC","11.45","11.45","11.45","11.45"
"Troy Smith III","LATech","CUSA","11.45","11.09","10.25","11.05"
"Kain McDonald","CoCar","SBC","11.45","11.58","11.43","13.06"
"Kaylon Miller","USC","Big10","11.44","10.55","14.10","15.23"
"Collin Sadler","Clem","ACC","11.43","11.59","10.35","15.30"
"Graham Uter","SMU","ACC","11.42","11.90","10.18","11.22"
"Lucas Allgeyer","Iowa","Big10","11.42","11.84","12.31","10.15"
"Reese Baker","Tul","Amer","11.42","10.24","13.48","16.42"
"Tyler Miller","MissSt","SEC","11.41","11.00","12.00","16.54"
"Netinho Olivieri","Pitt","ACC","11.40","11.84","11.98","15.45"
"Jaylen Garth","UTSA","Amer","11.40","11.59","11.74","14.62"
"Isaiah Wright","Mary","Big10","11.39","11.25","12.55","16.61"
"Griffin Hart","JMU","SBC","11.39","11.05","10.84","12.16"
"Nathan Mejia","Stan","ACC","11.39","12.37","11.09","15.59"
"Roger Alderman","Utah","Big12","11.39","11.20","11.44","14.33"
"Gregory Patrick","ND","Inde","11.39","11.39","11.39","11.39"
"Devron Williams Jr.","UTSA","Amer","11.39","11.81","9.78","11.67"
"Malachi Preciado","Tuls","Amer","11.38","11.62","12.01","14.95"
"Tegra Tshabola","UK","SEC","11.38","11.10","11.85","15.44"
"Champ Westbrooks","AZSt","Big12","11.37","11.59","11.96","12.20"
"Patrick Screws Jr.","Troy","SBC","11.36","10.13","13.48","12.86"
"Maarten Woudsma","Mem","Amer","11.36","11.05","11.74","15.14"
"Braylan Henderson","Fres","Pac12","11.36","11.13","3.24","10.19"
"André Otto","FSU","ACC","11.36","10.10","12.45","13.61"
"Collin Campbell","MichSt","Big10","11.35","11.35","11.35","11.35"
"Amarie Archer","Akr","MAC","11.35","11.48","9.98","16.00"
"Nick Brooks","Bama","SEC","11.35","11.35","11.35","12.56"
"Aliou Bah","LSU","SEC","11.35","11.39","12.27","15.40"
"Tyler Merrill","ND","Inde","11.34","11.34","11.34","11.34"
"Elyjah Thurmon","Clem","ACC","11.34","11.77","11.11","13.81"
"Elijah Prather","Troy","SBC","11.34","11.52","10.81","16.54"
"Blake Franks","SoCar","SEC","11.34","11.48","10.17","11.10"
"Ben Nichols","ND","Inde","11.34","11.34","11.34","11.34"
"Drew Evers","SMU","ACC","11.34","11.34","11.34","11.34"
"Tana Alo-Tupuola","AZSt","Big12","11.33","12.10","11.23","12.85"
"Rico Jackson","NCSt","ACC","11.32","10.07","13.86","15.72"
"Carius Curne","Miss","SEC","11.32","12.28","11.09","14.12"
"Jordan Knox","UK","SEC","11.32","12.25","11.01","13.10"
"Mausa Palu","Temp","Amer","11.32","11.54","11.46","13.76"
"Simione Pale","Stan","ACC","11.31","11.06","10.86","14.71"
"Tyler Chen","SJSt","MWC","11.31","11.55","10.75","15.22"
"Brock Knutson","Neb","Big10","11.30","11.21","11.92","10.78"
"Broderick Shull","OreSt","Pac12","11.30","11.30","11.30","11.30"
"Antonio Tripp Jr.","FIU","CUSA","11.30","11.28","13.12","14.77"
"Terrence Moore","Conn","Inde","11.29","14.27","10.14","14.69"
"Joe Cruz","Cuse","ACC","11.29","11.02","12.12","15.99"
"Luke Moise","NMSt","CUSA","11.29","11.95","11.38","14.63"
"Andre Cojoe","Tex","SEC","11.29","11.45","11.11","11.08"
"Heath Ozaeta","OU","SEC","11.29","12.06","12.07","15.54"
"Evan Link","Mich","Big10","11.28","9.91","12.10","16.34"
"Luke Miller","Rice","Amer","11.28","11.27","10.59","16.37"
"James Livingston","KU","Big12","11.28","10.18","9.02","11.23"
"Robert Smith IV","BC","ACC","11.28","11.04","10.42","16.29"
"Donovan Haslam","Tenn","SEC","11.28","11.76","12.12","14.80"
"Hunter Erb","Tuls","Amer","11.27","11.32","11.84","14.76"
"Aitor Urionabarrenechea","Mass","MAC","11.27","12.20","9.59","15.55"
"Trevion Mack","Cuse","ACC","11.27","11.07","11.29","14.38"
"Jacob Booth","CMich","MAC","11.27","13.80","5.70","13.24"
"Ethan Fields","Bama","SEC","11.27","11.28","13.96","11.66"
"Jared Doughty","Bama","SEC","11.27","11.27","11.27","11.27"
"Khalil Collins","USF","Amer","11.26","11.45","7.72","11.06"
"Andrew Threatt","UNC","ACC","11.25","10.90","11.57","15.38"
"E'Marion Harris","OU","SEC","11.25","10.63","11.82","16.18"
"Owen Strebig","ND","Inde","11.25","11.25","10.90","11.25"
"Jonathan Harder","Tol","MAC","11.25","11.00","13.60","14.96"
"Peyton Joseph","OU","SEC","11.24","11.22","11.42","11.28"
"Rhett Larson","WKU","CUSA","11.24","11.40","10.91","16.36"
"Esun Tafa","USC","Big10","11.24","11.24","11.24","11.24"
"TJ Dice Jr.","Fla","SEC","11.24","11.24","11.24","11.24"
"Gabe Fortson","ArkSt","SBC","11.23","10.68","13.13","12.87"
"Kelton Smith","GaSt","SBC","11.23","11.23","11.23","11.23"
"James Williams","NMSt","CUSA","11.22","10.51","12.72","16.24"
"Bryson Cooley","Bama","SEC","11.22","11.22","11.22","11.22"
"Evan Lawrence","SDSU","Pac12","11.22","10.92","12.32","12.67"
"Sam Yoon","UCLA","Big10","11.22","10.97","12.78","15.56"
"Connor Jones","GaSt","SBC","11.22","10.65","5.69","10.82"
"Malik Aliane","UNM","MWC","11.21","12.32","10.17","14.14"
"Ian Mayes","Tuls","Amer","11.21","11.24","10.61","15.63"
"Jamari Freeman","MissSt","SEC","11.21","11.62","11.58","16.10"
"Trent Ramsey","App","SBC","11.21","12.03","7.91","14.75"
"Jaylen Gilchrist","Mary","Big10","11.20","10.99","14.00","11.66"
"Isaac Sohn","SHSt","CUSA","11.20","11.63","9.34","13.29"
"Ryan Howerton","Mary","Big10","11.20","11.20","11.18","14.09"
"Jacob Sexton","OKSt","Big12","11.20","9.70","11.97","14.44"
"Gino Quinones","Fres","Pac12","11.20","11.73","11.25","12.06"
"Edward Fonua","Fres","Pac12","11.19","10.59","12.52","16.61"
"Chris Booker","Bama","SEC","11.19","11.19","11.19","11.19"
"Keylen Davis","Pitt","ACC","11.18","12.10","9.17","15.77"
"Rylan Vann","NCSt","ACC","11.17","9.91","11.56","10.70"
"D.J. Geth","Lib","CUSA","11.17","11.25","10.34","14.66"
"Nick Thomas","Tol","MAC","11.16","9.79","12.48","13.59"
"Lamar Robinson","Cal","ACC","11.16","11.48","11.03","16.13"
"Dylan Kinney","TCU","Big12","11.16","11.73","10.47","15.08"
"PJ Wilkins","Wisc","Big10","11.16","9.89","12.09","13.91"
"Chimdy Onoh","PSU","Big10","11.16","10.79","10.76","11.65"
"Marky Walbridge","Mich","Big10","11.15","11.15","11.15","11.15"
"Deuce McGuire","NW","Big10","11.15","10.90","11.06","15.31"
"Ebubedike Nnabugwu","SoCar","SEC","11.14","11.81","12.51","13.99"
"Max Anderson","UK","SEC","11.14","10.26","13.21","13.53"
"Malik Agbo","WVU","Big12","11.14","11.49","12.10","14.09"
"Champ Taulealea","Wash","Big10","11.14","10.94","11.14","13.92"
"Donovan Funsch","GaSt","SBC","11.13","11.26","11.40","15.68"
"Micah Smith","Illini","Big10","11.12","11.12","11.12","11.12"
"Carde Smith","Mem","Amer","11.12","11.12","11.12","11.12"
"Chance Barclay","Clem","ACC","11.12","11.12","11.12","11.12"
"Oscar Colon","FIU","CUSA","11.12","10.26","12.46","14.96"
"Noah Hartsoe","UVA","ACC","11.11","10.04","12.85","11.53"
"Nate Kibble","Bay","Big12","11.11","10.88","13.33","12.05"
"Caleb Harris","USF","Amer","11.11","10.94","11.47","10.71"
"Deandre Duffus","GaSt","SBC","11.10","12.45","10.06","13.12"
"Tyree Adams","A&M","SEC","11.10","9.98","12.61","15.94"
"Yahya Attia","Col","Big12","11.10","11.41","12.33","13.77"
"Bryce Weaver","ECU","Amer","11.10","10.70","13.00","13.21"
"Jaxon Dunn","Kent","MAC","11.09","10.88","10.35","16.52"
"Garret Rutledge","IASt","Big12","11.09","10.85","12.77","11.14"
"Derek Osman","UCLA","Big10","11.09","10.84","10.38","16.02"
"Jay Clark","UK","SEC","11.08","11.01","11.67","10.64"
"Tyreek Jemison","UGA","SEC","11.08","11.08","11.08","11.08"
"Tyler Chukuyem","Fla","SEC","11.07","11.07","11.07","11.07"
"Cam Todd","SHSt","CUSA","11.06","10.91","10.57","10.68"
"Marcus Garcia","A&M","SEC","11.06","11.06","10.40","11.08"
"Rod Green","Char","Amer","11.06","11.09","10.17","13.84"
"Oluwafunto Akinshilo","Cuse","ACC","11.06","11.29","9.64","12.57"
"Julian Armella","UCLA","Big10","11.05","11.69","13.88","12.21"
"Colton Thomasson","UNLV","MWC","11.05","11.59","12.05","11.65"
"Cole Rhett","Bay","Big12","11.05","11.74","9.36","15.06"
"Kevin Terry","Temp","Amer","11.05","9.85","11.35","15.00"
"Darrell Jones","UTSA","Amer","11.05","11.22","13.02","14.12"
"Sioape Vatikani","Cal","ACC","11.04","11.46","10.21","15.50"
"Sean Kinney","Col","Big12","11.04","11.02","11.76","16.22"
"Kamen Smith","NCSt","ACC","11.03","10.70","10.73","15.97"
"Ethan Trent","Purd","Big10","11.03","10.30","12.37","15.21"
"Brennan Smith","MTSU","CUSA","11.02","11.08","11.24","15.87"
"Zac Stascausky","Ore","Big10","11.02","11.00","11.30","11.03"
"Karsten Upchurch","WKU","CUSA","11.02","10.38","11.13","16.53"
"Josh Williams","Stan","ACC","11.02","10.63","10.50","16.22"
"Mateo Guevara","KennSt","CUSA","11.02","10.94","11.83","14.64"
"Tavo Motu'apuaka","UtSt","Pac12","11.02","9.88","13.55","15.87"
"Reece Parmenter","Utah","Big12","11.02","10.76","12.72","11.75"
"Devin McRae","Wake","ACC","11.01","10.20","12.31","11.76"
"Zach Owens","Mizz","SEC","11.00","10.39","13.66","15.39"
"Jack Leyrer","Aub","SEC","10.99","12.28","10.61","14.47"
"Orion Irving","Vand","SEC","10.99","12.47","10.04","15.49"
"Will Nolan","Iowa","Big10","10.99","10.99","10.99","10.99"
"Hardy Watts","Wisc","Big10","10.99","10.99","10.99","10.99"
"Lipe Moala","Haw","MWC","10.99","11.39","10.84","10.63"
"Phillip Gray","Mem","Amer","10.99","11.50","11.82","15.18"
"Julius Tate","USF","Amer","10.98","10.69","13.97","14.55"
"Nic Moore","Tenn","SEC","10.98","11.35","12.36","10.63"
"Drew Hutchinson","ULM","SBC","10.98","10.92","11.72","11.67"
"Skyler Grant","Mem","Amer","10.98","10.41","12.39","15.27"
"Tariq Montgomery","Marsh","SBC","10.97","10.40","11.17","15.23"
"Chimdia Nwaiwu","FSU","ACC","10.97","9.59","12.73","15.75"
"Mason Wade","Clem","ACC","10.97","11.63","10.55","11.59"
"Andrew Dennis","MichSt","Big10","10.97","10.10","10.64","10.91"
"Jamal Meriweather","MiaFL","ACC","10.96","10.70","12.71","12.63"
"Jordan Hall","UNC","ACC","10.95","11.45","10.79","12.11"
"Isaiah Cook","Rut","Big10","10.95","11.97","11.00","14.30"
"Nelson McGuire","A&M","SEC","10.95","10.90","11.41","10.98"
"Caden Jones","Fla","SEC","10.95","11.26","10.44","15.72"
"James Jenkins","USF","Amer","10.93","10.86","10.48","11.11"
"Mack Indestad","UCLA","Big10","10.93","9.84","10.77","13.46"
"Dustyn Morell","Kent","MAC","10.93","11.08","11.53","15.11"
"Ty Haywood","Bama","SEC","10.93","10.86","11.07","10.97"
"Losini Maka","CMich","MAC","10.93","11.08","11.58","15.83"
"Justin Terry","VT","ACC","10.93","10.43","13.20","12.04"
"Trovon Baugh","A&M","SEC","10.92","11.26","11.69","14.56"
"Brody Bolyn","BG","MAC","10.92","10.68","11.83","14.41"
"Hayes Johnson","UK","SEC","10.92","10.44","10.27","10.46"
"Tyler Keinath","NMSt","CUSA","10.92","11.49","10.99","14.58"
"Carson Nielsen","Iowa","Big10","10.92","10.92","10.92","10.92"
"Isaiah Garcia","Utah","Big12","10.91","10.91","10.91","10.91"
"Devan Houstan","ND","Inde","10.91","10.55","13.63","12.38"
"Alvin Ebosele","Hou","Big12","10.91","11.84","9.34","14.70"
"Sam Utu","SMU","ACC","10.91","10.91","10.91","10.91"
"Devin Vass","WVU","Big12","10.91","10.50","10.83","16.27"
"Jaden Ball","Minn","Big10","10.90","10.92","8.63","11.80"
"Fisher Anderson","Stan","ACC","10.89","10.22","12.02","14.85"
"Jake Steele","Boise","Pac12","10.88","11.73","10.03","13.09"
"Connor Howes","Miss","SEC","10.88","10.76","12.06","11.22"
"Ryan Hughes","TCU","Big12","10.88","11.56","11.07","13.82"
"Cooper Fordham","ULLaf","SBC","10.87","11.85","11.86","13.02"
"Cameron Gorin","Lou","ACC","10.87","10.45","12.96","11.58"
"Ryan Fodje","OU","SEC","10.87","9.98","14.04","13.90"
"Keith Gouveia","Pitt","ACC","10.86","12.16","10.78","15.16"
"Lance Williams","App","SBC","10.86","10.55","10.35","11.34"
"Rex Johnsen","Wyo","MWC","10.86","10.98","10.08","15.23"
"Isaiah Dent","MissSt","SEC","10.85","11.86","10.59","11.06"
"Vaea Ikakoula","PSU","Big10","10.85","10.84","11.31","11.77"
"Jackson Bradley","UTEP","MWC","10.84","10.62","12.43","14.88"
"Max Anderson","ND","Inde","10.84","10.84","10.49","10.84"
"Dylan Senda","Tol","MAC","10.84","11.47","9.70","11.30"
"Amarion Berry","NoTex","Amer","10.83","10.50","12.47","12.14"
"Judah Pruitt","BC","ACC","10.83","10.72","10.99","11.59"
"Marleo Neolien","ECU","Amer","10.83","11.43","9.47","12.51"
"Layth Ghannam","VT","ACC","10.83","11.89","7.64","15.54"
"Deacon Schmitt","OU","SEC","10.83","10.83","10.83","10.83"
"Tyler Lawrence","UNM","MWC","10.82","10.49","10.07","15.52"
"Jacobe' Ward","Aub","SEC","10.82","10.79","10.79","10.35"
"Deontae Armstrong","OSU","Big10","10.82","10.73","11.69","11.03"
"Daniel McMorris","Cal","ACC","10.82","10.82","10.82","10.82"
"Jordan Larsen","Duke","ACC","10.81","9.78","11.80","16.21"
"Brian Beidatsch","MiaOH","MAC","10.81","11.19","12.03","15.20"
"Kevo Wesley","Vand","SEC","10.81","8.43","10.92","15.67"
"Siosiua Latu-Finau","BYU","Big12","10.80","10.50","13.26","11.94"
"Ty Furnish","GASo","SBC","10.80","9.82","11.19","14.90"
"Zander Esty","Boise","Pac12","10.80","12.21","7.81","11.92"
"Matt Marek","Ind","Big10","10.79","10.78","9.51","11.07"
"Adam Guthrie","Clem","ACC","10.79","10.79","10.79","10.79"
"Davon Watkins","Mary","Big10","10.79","10.84","9.92","11.37"
"Isaiah Robinson","Bay","Big12","10.79","10.79","10.79","10.79"
"Abel Hoopii","SMU","ACC","10.79","10.67","11.60","10.94"
"Leo Bluhm","Rice","Amer","10.79","11.36","10.80","14.22"
"Ryan Brubaker","UVA","ACC","10.79","11.29","11.11","10.77"
"Ibrahim Traore","Tol","MAC","10.78","11.08","11.28","13.32"
"Ja'Kavion Nonar","FAU","Amer","10.78","10.55","11.53","13.80"
"Sam Secrest","Lou","ACC","10.77","10.72","10.04","10.40"
"Avery Gach","Mich","Big10","10.77","10.77","9.18","11.06"
"Jayvon McFadden","Col","Big12","10.77","10.72","11.82","11.20"
"Joel Ervin","MiaFL","ACC","10.77","10.77","10.77","10.77"
"Paris Patterson Jr.","Tex","SEC","10.76","10.38","11.70","11.11"
"Frederick Williams III","Cal","ACC","10.76","10.67","11.47","14.48"
"Ashdon Wnetrzak","SDSU","Pac12","10.76","10.65","10.04","10.04"
"Ryan Babatz","NDSt","MWC","10.75","9.99","11.99","15.51"
"Cedric Jefferson","Utah","Big12","10.75","11.54","10.89","14.09"
"Aidan Andrews","GaSt","SBC","10.75","11.05","9.68","10.78"
"Jake Cook","OSU","Big10","10.75","10.69","11.73","11.09"
"Racin Delgatty","Bama","SEC","10.74","11.17","11.90","15.22"
"Bennett Warren","Minn","Big10","10.74","10.98","11.98","13.73"
"Kalan Ellis","SDSU","Pac12","10.74","10.94","11.33","15.45"
"Tobias Raymond","USC","Big10","10.73","10.43","10.10","15.96"
"Colin Alexander","GASo","SBC","10.73","9.59","12.59","12.29"
"Toriyan Johnson","ColSt","Pac12","10.73","9.76","11.51","13.34"
"Grant Wise","Clem","ACC","10.73","10.73","10.73","10.73"
"Jimarion McCrimon","NCSt","ACC","10.72","10.09","11.90","15.76"
"Blake Ivy","A&M","SEC","10.72","11.08","10.12","13.57"
"Tamarus Walker","Conn","Inde","10.71","8.38","10.35","14.48"
"Gibson Pyle","Neb","Big10","10.71","11.42","10.62","10.71"
"Cash Hudson","USF","Amer","10.71","10.71","11.66","16.23"
"Calvin Clements","KU","Big12","10.71","12.59","8.32","15.36"
"Trevon Humphrey","BC","ACC","10.70","10.11","11.78","15.58"
"Waltclaire Flynn Jr.","UGA","SEC","10.70","10.70","10.70","10.70"
"Jack Liwienski","NDSt","MWC","10.70","12.64","12.49","13.99"
"Teko Shoats","OreSt","Pac12","10.69","10.10","12.17","15.33"
"Maxwell Wentz","Ball","MAC","10.68","10.40","10.73","16.15"
"Marques Easley","Purd","Big10","10.68","11.45","12.13","10.89"
"Brooks Edmonson","Ark","SEC","10.67","11.59","10.04","12.25"
"Evan Goodwin","SMU","ACC","10.67","10.67","10.67","10.67"
"Gemyel Allen","Duke","ACC","10.66","9.60","6.44","10.98"
"Mal Waldrep Jr.","Bama","SEC","10.66","10.62","10.76","10.55"
"Donnie Harbour","PSU","Big10","10.66","10.66","10.66","10.66"
"Ethan Hubbard","SoAla","SBC","10.66","11.70","9.33","14.28"
"Joe Brown","BYU","Big12","10.66","11.14","3.96","11.83"
"Parker Mitchell","Mem","Amer","10.66","10.89","11.54","15.10"
"Cannon Leonard","Iowa","Big10","10.65","10.42","11.46","11.24"
"Noah Stommes","NDSt","MWC","10.65","10.26","10.83","12.26"
"Aiden Jones","FAU","Amer","10.65","9.13","12.79","15.00"
"Micah Banuelos","Purd","Big10","10.65","9.72","11.62","15.63"
"Justin Morales","Zona","Big12","10.64","10.64","10.64","10.64"
"Jake Wheelock","Cincy","Big12","10.64","10.61","10.35","9.94"
"Baylor Wilkin","Ind","Big10","10.64","10.50","11.96","11.10"
"Caleb Holmes","JackSt","CUSA","10.64","10.64","10.64","10.64"
"Justin Tauanuu","USC","Big10","10.64","10.19","10.77","16.65"
"Zerian Hudson","SMiss","SBC","10.63","9.34","11.53","14.02"
"Wilson Zierer","Aub","SEC","10.63","10.63","10.63","10.63"
"Cole Millward","UNM","MWC","10.62","9.73","12.73","16.30"
"Terrence Salami","Rut","Big10","10.61","11.23","10.75","10.50"
"Emanuel Tucker","Miss","SEC","10.61","10.61","10.61","10.61"
"Graham Houston","UGA","SEC","10.61","10.61","10.61","10.61"
"Gene Riordan","Iowa","Big10","10.61","10.61","10.61","10.61"
"Kail Ellis","Aub","SEC","10.60","10.41","12.30","13.60"
"Gavin Proudfoot","IASt","Big12","10.60","9.60","11.43","15.65"
"Rahtrel Perry","Mary","Big10","10.60","9.71","11.45","15.80"
"Jonny Lester","WashSt","Pac12","10.60","10.83","8.77","15.80"
"Jai'Lun Hampton","NCSt","ACC","10.60","10.45","10.92","15.34"
"Zachary Franks","Mass","MAC","10.60","9.89","10.91","12.68"
"Breck Kolojay","USC","Big10","10.59","10.59","10.59","10.59"
"Hudson Parliament","Iowa","Big10","10.59","10.59","10.59","10.59"
"Sean Stover","Duke","ACC","10.59","10.59","10.59","10.59"
"Keiton Jones","KSt","Big12","10.59","10.57","10.95","10.66"
